"unique_row","study_ID","short_cite","long_cite","peer_reviewed","coder","expt_unique","same_sample","task_type","participant_design","native_language","group_name_1","group_name_2","n_1","n_2","feature","unit","x_1","x_2","SD_1","SD_2","expt_num","expt_condition","n_1_M","n_2_M","n_1_F","n_2_F","mean_age_1","mean_age_2","sd_age_1","sd_age_2","mean_education_1","mean_education_2","sd_education_1","sd_education_2","mean_total_task_duration_1","mean_total_task_duration_2","sd_total_task_duration_1","sd_total_task_duration_2","task_type_specification","native_language_specification","diagnosis_specification","feature_specification","prosody_type","notes","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_sample_calc","all_mod"
"11","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989).4","C","constrained","between","English","RHD","HC",8,7,"pitch_f0","Slope of pitch contour",-0.36,-0.584285714,0.6835203,0.505465368,NA,"imperatives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",0.368977770662807,0.272395296031919,0.345916659996381,0.239409928153054,0.181036800482906,0.0613463268212199,0.18305441337284,0.2,0.669251645844758,0.896144604184223,"between",NA,7.5,"Behrens1989 C",""
"12","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989).5","C","constrained","between","English","RHD","HC",8,7,"pitch_f0","Linearity of pitch contour",0.29,0.558571429,0.184037069,0.26717214,NA,"imperatives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-1.18713150141747,0.3148331829124,-1.11293578257888,0.276708852169101,-0.509581183658759,0.031794851796172,-0.562163888130644,0.2,-2.15321836253343,1.03575965589373,"between",NA,7.5,"Behrens1989 C",""
"13","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989).6","C","constrained","between","English","RHD","HC",8,7,"pitch_f0_variability","Variation of pitch contour",9,17.85714286,4.082482905,5.113008619,NA,"yes/no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-1.93093545761665,0.392140867573184,-1.81025199151561,0.344655059390493,-0.693775038735421,0.0136187285772848,-0.855197534077779,0.2,-3.50232950540239,1.2900917441491,"between",NA,7.5,"Behrens1989 C",""
"14","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989).7","C","constrained","between","English","RHD","HC",8,7,"pitch_f0","Slope of pitch contour",0.54,0.067142857,0.146580061,0.682879059,NA,"yes/no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",0.992916293656762,0.300719901730779,0.930859025303215,0.264304601130567,0.443879689780064,0.0387495774595227,0.477052171262274,0.2,1.80095094217243,0.989328821872418,"between",NA,7.5,"Behrens1989 C",""
"15","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989).8","C","constrained","between","English","RHD","HC",8,7,"pitch_f0","Linearity of pitch contour",0.29,0.067142857,0.18293897,0.682879059,NA,"yes/no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",0.461443604477743,0.274954816194257,0.432603379197884,0.241659506420733,0.224340680505772,0.0586120247400752,0.228222177788162,0.2,0.836966116431676,0.90456508800385,"between",NA,7.5,"Behrens1989 C",""
"16","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989).9","C","constrained","between","English","RHD","HC",8,7,"pitch_f0_variability","Variation of pitch contour",12.5,16.28571429,3.585685828,5.736267245,NA,"wh-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-0.805108742129588,0.289463812412259,-0.754789445746489,0.254411553877962,-0.372717266036704,0.0459973780341538,-0.391575044990546,0.2,-1.46030572461406,0.952297772313379,"between",NA,7.5,"Behrens1989 C",""
"17","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989).10","C","constrained","between","English","RHD","HC",8,7,"pitch_f0","Slope of pitch contour",-0.44,-0.324285714,0.45254834,0.618300281,NA,"wh-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-0.216101270576511,0.269413801495302,-0.202594941165479,0.236789473970481,-0.107189122700421,0.0647692992778705,-0.107602492878212,0.2,-0.391964347181883,0.886335880317417,"between",NA,7.5,"Behrens1989 C",""
"18","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989).11","C","constrained","between","English","RHD","HC",8,7,"pitch_f0","Linearity of pitch contour",0.37125,0.432857143,0.184037069,0.167602137,NA,"wh-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-0.348768714155017,0.271911796722921,-0.326970669520329,0.238984977588505,-0.171420890457109,0.0618834319819131,-0.173130204837237,0.2,-0.632596471999156,0.894553955214885,"between",NA,7.5,"Behrens1989 C",""
"19","Ouellette1994","Ouellette & Baum (1994)","Ouellette, G. P., & Baum, S. R. (1994). Acoustic analysis of prosodic cues in left- and righthemisphere-damaged patients. Aphasiology, 8(3), 257-283.","yes","LNJ, ND","Ouellette & Baum (1994)","D","constrained","between",NA,"RHD","HC",8,9,"pitch_f0","Mean ratio between contrasting syllables",0.88125,0.81,0.09568363,0.09617692,NA,"compound nouns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",0.742597215567905,0.252330247127852,0.702815221876767,0.226019025568284,0.347549586554333,0.0427248713938354,0.362653979721709,0.2,1.34692235747917,0.830133239193672,"between",NA,8.5,"Ouellette1994 D",""
"20","Ouellette1994","Ouellette & Baum (1994)","Ouellette, G. P., & Baum, S. R. (1994). Acoustic analysis of prosodic cues in left- and righthemisphere-damaged patients. Aphasiology, 8(3), 257-283.","yes","LNJ, ND","Ouellette & Baum (1994).1","D","constrained","between",NA,"RHD","HC",8,9,"pitch_f0","Mean ratio between contrasting syllables",0.96,0.893333333,0.085429587,0.136381817,NA,"noun phrases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",0.577512719783185,0.245920550567328,0.546574538366229,0.220277687035594,0.276978629812008,0.0482207283508053,0.284406670914775,0.2,1.04749220397992,0.809046182732539,"between",NA,8.5,"Ouellette1994 D",""
"21","Gandour1995","Gandour et al. (1995)","Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.","yes","LNJ, ND","Gandour et al. (1995)","E","constrained","between","Thai","RHD","HC",12,9,"pitch_f0_variability","F0 variability (z-score)",0.073611111,0.082517483,0.04330127,0.096503497,NA,"happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"emotional",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-0.125870088254162,0.194821665375804,-0.120625501243572,0.178924758652431,-0.0621690486520978,0.0471603509957694,-0.0622493291676551,0.111111111111111,-0.228303086051505,0.640937588673532,"between",NA,10.5,"Gandour1995 E",""
"22","Gandour1995","Gandour et al. (1995)","Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.","yes","LNJ, ND","Gandour et al. (1995).1","E","constrained","between","Thai","RHD","HC",12,9,"pitch_f0_variability","F0 variability (z-score)",0.063888889,0.06013986,0.04330127,0.205594406,NA,"neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"emotional",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",0.0272824277611712,0.194462166607886,0.0261456599377891,0.178594593985368,0.0135000699212544,0.0475973541289894,0.0135008901486923,0.111111111111111,0.0494848501279783,0.639754885132854,"between",NA,10.5,"Gandour1995 E",""
"23","Gandour1995","Gandour et al. (1995)","Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.","yes","LNJ, ND","Gandour et al. (1995).2","E","constrained","between","Thai","RHD","HC",12,9,"pitch_f0_variability","F0 variability (z-score)",0.063888889,0.064335664,0.014433757,0.264335664,NA,"sad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"emotional",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-0.00259942022888336,0.194444605325052,-0.00249111105267989,0.178578465654432,-0.00128637833756855,0.0476188506229718,-0.00128637904712231,0.111111111111111,-0.00471482675852621,0.639697110828073,"between",NA,10.5,"Gandour1995 E",""
"24","Balan1999","Balan & Gandour (1999)","Balan, A., & Gandour, J. (1999). Effect of sentence length on the production of linguistic stress by left-and right-hemisphere-damaged patients. Brain and language, 67(2), 73-94.","yes","LNJ, ND","Balan & Gandour (1999)","F","constrained","between","English","RHD","HC",8,8,"pitch_f0_variability","Mean ratio between contrasting syllables",0.979545455,0.977808989,0.001124943,0.000953402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",1.66534554474709,0.336667993231531,1.56926791716553,0.29894225286572,0.63988477087505,0.0173342996936598,0.757978597775196,0.2,3.02060269029256,1.10759330256795,"between",NA,8,"Balan1999 F",""
"25","Pell1999a","Pell (1999a)","Pell, M. D. (1999a). Fundamental frequency encoding of linguistic and emotional prosody by right hemisphere-damaged speakers. Brain and Language, 69(2), 161-192.","yes","LNJ, ND","Pell (1999a)","G","constrained","between",NA,"RHD","HC",10,10,"pitch_f0","Mean normalized F0 (accross 4 emotions (neutral, happy, sad, angry) and 2 kinds of linguistic prosody (declarative/interrogative)",0.012465278,0.012916667,1.147514928,1.298207095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"emotional",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-0.000368426673614622,0.200000003393455,-0.000352172555661036,0.18274221763351,-0.000184213333681712,0.0499999957581811,-0.000184213335765452,0.142857142857143,-0.000668252066369129,0.657973637903311,"between",NA,10,"Pell1999a G",""
"26","Baum2001","Baum et al. (2001)","Baum, S. R., Marc D. Pell, Carol. (2001). Using prosody to resolve temporary syntactic ambiguities in speech production: acoustic data on brain-damaged speakers. Clin Linguist Phon, 15(6), 441-456.","yes","LNJ, ND","Baum et al. (2001)","H","constrained","between",NA,"RHD","HC",10,12,"pitch_f0_variability","mean F0 ratios across three syntactic conditions",1.105,1.1,0.061508807,0.090308115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",0.0635613189619979,0.183425152453065,0.0610523195292875,0.169230027254568,0.0316332230308845,0.0453409250065807,0.031643780745839,0.142857142857143,0.11528747992316,0.603444563973752,"between",NA,11,"Baum2001 H",""
"27","Gandour2001","Gandour and Baum (2001)","Gandour, J., & Baum, S. R. (2001). Production of stress retraction by left- and right-hemispheredamaged patients. Brain Lang, 79(3), 482-494.","yes","LNJ, ND","Gandour and Baum (2001)","I","constrained","between","English","RHD","HC",9,9,"pitch_f0_variability","proportion of F0 rises",0.518292683,0.432926829,0.274390244,0.109756098,NA,"clash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",0.408508903513686,0.226857764562499,0.388083458338001,0.204739132517655,0.200122562151165,0.0501696185358886,0.202860226222192,0.166666666666667,0.740953189477141,0.746332130515777,"between",NA,9,"Gandour2001 I",""
"28","Gandour2001","Gandour and Baum (2001)","Gandour, J., & Baum, S. R. (2001). Production of stress retraction by left- and right-hemispheredamaged patients. Brain Lang, 79(3), 482-494.","yes","LNJ, ND","Gandour and Baum (2001).1","I","constrained","between","English","RHD","HC",9,9,"pitch_f0_variability","proportion of F0 rises",0.841463415,0.969512195,0.292682927,0.036585366,NA,"non-clash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-0.613940610785696,0.23269230759922,-0.583243580246411,0.210004807608296,-0.293455264513032,0.0444012572788212,-0.302342948101246,0.166666666666667,-1.11356508952066,0.765527007726966,"between",NA,9,"Gandour2001 I",""
"29","Hird2003","Hird & Kirsner (2003)","Hird, K., & Kirsner, K. (2003). The effect of right cerebral hemisphere damage on collaborative planning in conversation: an analysis of intentional structure. Clinical Linguistics & Phonetics, 17(4-5), 309-315.","yes","LNJ, ND","Hird & Kirsner (2003)","J","free","between",NA,"RHD","HC",3,8,"pitch_f0_variability","Proportional change in F0 between the first and last 600 msec between breaths",2.333333333,5.666666667,1.527525232,3.511884584,NA,"spontaneous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-1.04828483699982,0.508283383309867,-0.950008133531088,0.417447583362889,-0.423033771961738,0.0557992785380807,-0.45138129810386,Inf,-1.90137837088665,1.67218530563855,"between",NA,5.5,"Hird2003 J",""
"30","Ross2008","Ross & Monnot (2008)","Ross, E. D., & Monnot, M. (2008). Neurology of affective prosody and its functional-anatomic organization in right hemisphere. Brain Lang, 104(1), 51-74.","yes","LNJ, ND","Ross & Monnot (2008)","K","free","between",NA,"RHD","HC",21,43,"pitch_f0_variability","Spontaneous production (Z-score of mean percent coefficient of variation of F0)",-1.905,0,0.67,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"emotional",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-2.11830812674041,0.105931340633586,-2.09226335469032,0.103342485140744,-0.705193577183239,0.00296677191182774,-0.877557485584458,0.0555555555555556,-3.84218593353393,0.34850014191018,"between",NA,32,"Ross2008 K",""
"31","Ross2008","Ross & Monnot (2008)","Ross, E. D., & Monnot, M. (2008). Neurology of affective prosody and its functional-anatomic organization in right hemisphere. Brain Lang, 104(1), 51-74.","yes","LNJ, ND","Ross & Monnot (2008).1","K","constrained","between",NA,"RHD","HC",21,43,"pitch_f0_variability","Affective-prosodic repitition  (Z-score of mean percent coefficient of variation of F0)",-1.335,0,0.995,0.99,NA,"repetition - words",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"emotional",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-1.34628773701272,0.0850349449384018,-1.32973501893469,0.0829567763532538,-0.534321869648594,0.00683804872625191,-0.596174547800395,0.0555555555555556,-2.44189584146999,0.279753755603481,"between",NA,32,"Ross2008 K",""
